token,count
먹다,663
빵,640
소금,312
빙수,306
케이크,253
주차,220
크림,220
분위기,205
브런치,205
가능,193
봉선,169
내부,160
주차장,159
느낌,154
봉선동,145
과일,143
떡,142
매장,141
딸기,138
시간,137
공간,136
라떼,136
두바이,135
아메리카노,134
좋아하다,132
자리,129
corp.,127
스콘,121
테이블,117
포장,116
화채,110
초코,108
펭귄,108
치즈,106
종류,104
넓다,104
즐기다,102
휴무,99
쿠키,92
감성,92
깔끔,86
근처,82
크다,81
인테리어,80
달달하다,78
고르다,78
앉다,77
예약,77
버터,77
골목,76
영업시간,75
티라미수,75
가격,74
드리다,72
업자,70
화장실,69
파스타,69
사람,68
올라가다,68
토핑,67
정도,66
나다,66
메뉴판,65
아이스,65
사다,64
수제,63
마시다,62
달다,62
편하다,62
친구,61
우유,61
다녀오다,61
샌드위치,61
건물,60
차,59
샐러드,59
유명,58
마을,58
추가,57
기본,57
지구,57
어울리다,56
안녕,55
조합,54
식사,54
따뜻,54
사장,53
식감,53
시키다,53
판매,51
고소하다,51
좌석,51
망고,51
외관,50
준비,49
달콤,49
조용,49
스탠드,49
음식,48
드시다,48
쓰다,48
정기,48
단체,48
모임,48
프렌치,48
재생,47
작다,47
마음,47
저녁,46
배달,46
밀가루,45
진하다,45
선택,45
프랑스,45
쪼다,44
초콜릿,44
블랙,44
넣다,44
보내다,44
사이즈,44
주월동,44
의자,43
조화,43
시원,43
사용,43
미담,43
오픈,42
토스트,42
하우스,42
들어오다,41
레파스,41
고소,40
에스프레소,40
구매,39
에이드,39
무료,38
이야기,38
시그니처,38
모르다,38
기분,38
여유,38
오더,38
입구,38
아이,38
잼,38
처음,37
말차,37
흑임자,37
만족,37
혼자,37
데이트,37
가족,36
주말,36
고급,36
맞다,36
기대,36
풍미,36
외부,36
라스트,36
에어컨,36
장소,35
선물,35
펴다,35
다르다,35
편안,35
요거트,35
아늑,35
매력,35
재료,35
피자,35
얼음,35
월산동,35
스테이크,35
한옥,35
오후,34
소스,34
시장,34
건강,34
평일,33
안쪽,33
여행,33
점심,33
공영,33
살다,33
덕분,33
신상,33
신선,33
안길,33
정보,32
날씨,32
참고,32
소품,32
취향,32
읽다,32
셀프,32
감태,32
별빛,32
스푼,32
수건,31
특별,31
이름,31
자체,31
루프,31
우드,31
커스,31
맛보다,30
모습,30
구경,30
운영,30
올리다,30
백서,29
곳곳,29
부담,29
모찌,28
전용,28
남다,28
재미,28
이상,28
야외,28
타르트,28
촉촉,28
위하다,27
개인,27
비주얼,27
여름,27
인기,27
게시물,27
릴커피,27
상큼,27
비빔밥,27
월요일,26
내다,26
가게,26
아기,26
조명,26
팔로워,26
팔로잉,26
높다,26
동반,26
아이스크림,26
욘더,26
냉매,26
테라스,25
원하다,25
은은,25
동네,25
와플,25
마련,25
전병,25
인절미,25
쿼카,25
일요일,24
꾸미다,24
고민,24
크로아상,24
전체,24
전화번호,24
거울,24
어우러지다,24
발견,24
최고,24
카운터,24
창가,24
바닐라,24
지하,24
구성,24
문의,24
수박,24
주변,23
따르다,23
인스타,23
미니,23
필요,23
엄마,23
챙기다,23
주스,23
백운동,23
안심,23
동안,22
영업,22
나누다,22
남편,22
친절,22
식빵,22
궁금,22
기다리다,22
생기다,22
제철,22
늦다,21
확인,21
오랜만,21
카페인,21
화이트,21
쫄깃하다,21
에그,21
갓길,21
마들렌,21
담다,21
소파,21
초록,21
